Experiment 1:
--------------------QuadProbeHashTable add() with a bad hashfunctor--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
90000	2480E-1	|	1507E-2		2756E-6		1674E-7		-5062E-10		-1253E-10
100000	2600E-1	|	1565E-2		2600E-6		1565E-7		1844E-10		-1699E-10
110000	2250E-1	|	1344E-2		2045E-6		1221E-7		-2867E-10		-1268E-10
120000	2720E-1	|	1612E-2		2267E-6		1343E-7		1795E-10		1798E-10
130000	2760E-1	|	1625E-2		2123E-6		1250E-7		-9862E-10		-8467E-10
140000	2920E-1	|	1708E-2		2086E-6		1220E-7		-1557E-10		2376E-10
150000	2010E-1	|	1169E-2		1340E-6		7793E-8		1961E-10		1108E-10
160000	2760E-1	|	1597E-2		1725E-6		9978E-8		-1625E-9		2031E-10
170000	2480E-1	|	1427E-2		1459E-6		8396E-8		-2129E-10		-1210E-9
180000	2920E-1	|	1673E-2		1622E-6		9292E-8		-1490E-10		2167E-10
190000	3390E-1	|	1933E-2		1784E-6		1017E-7		1948E-10		2051E-10
200000	2760E-1	|	1567E-2		1380E-6		7837E-8		2052E-10		4306E-10
--------------------QuadProbeHashTable contains() with Java's hashfunctor--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	5130E-1	|	3861E-2		5130E-5		3861E-6		5130E-9		-7053E-10
20000	6070E-1	|	4248E-2		3035E-5		2124E-6		1518E-9		-3983E-10
30000	6820E-1	|	4586E-2		2273E-5		1529E-6		7578E-10		3715E-10
40000	6070E-1	|	3971E-2		1517E-5		9926E-7		3794E-10		8768E-10
50000	2400E-1	|	1538E-2		4800E-6		3075E-7		-1337E-10		-3296E-10
60000	2720E-1	|	1714E-2		4533E-6		2856E-7		-3914E-10		1511E-10
70000	3000E-1	|	1864E-2		4286E-6		2663E-7		4958E-10		-7828E-10
80000	2760E-1	|	1695E-2		3450E-6		2118E-7		1311E-10		2219E-10
90000	2760E-1	|	1677E-2		3067E-6		1863E-7		-5633E-10		-1395E-10
100000	3030E-1	|	1824E-2		3030E-6		1824E-7		2149E-10		-1980E-10
110000	3350E-1	|	2000E-2		3045E-6		1818E-7		-4268E-10		-1887E-10
120000	3150E-1	|	1867E-2		2625E-6		1556E-7		2079E-10		2082E-10
130000	3000E-1	|	1766E-2		2308E-6		1358E-7		-1072E-9		-9204E-10
140000	3510E-1	|	2053E-2		2507E-6		1467E-7		-1872E-10		2856E-10
150000	3070E-1	|	1785E-2		2047E-6		1190E-7		2995E-10		1692E-10
160000	2920E-1	|	1689E-2		1825E-6		1056E-7		-1720E-9		2149E-10
170000	3350E-1	|	1928E-2		1971E-6		1134E-7		-2876E-10		-1634E-9
180000	2960E-1	|	1696E-2		1644E-6		9420E-8		-1510E-10		2196E-10
190000	3430E-1	|	1956E-2		1805E-6		1029E-7		1971E-10		2075E-10
200000	3150E-1	|	1789E-2		1575E-6		8944E-8		2341E-10		4915E-10
--------------------ChainingHashTable add() with Java's hashfunctor--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	1148E0	|	8640E-2		1148E-4		8640E-6		1148E-8		-1578E-9
20000	3390E-1	|	2373E-2		1695E-5		1186E-6		8475E-10		-2224E-10
